locationID,brandID,storeID,latitude,longitude,storeName,address,suburb,postcode,state,phone,distance,fax,locationFeatures,openingHours,operationalInfo,openingHoursExceptions,isOpen,openingDate,closingDate,cncEnabled,cncStore
34256079,3,6019,-27.564955,151.914114,Glenvale,114-128 Glenvale Road,Glenvale,4350,QLD,(07) 4529 5580,4.219,,,"{'mondayOpen': '09:00', 'mondayClose': '21:00', 'tuesdayOpen': '09:00', 'tuesdayClose': '21:00', 'wednesdayOpen': '09:00', 'wednesdayClose': '21:00', 'thursdayOpen': '09:00', 'thursdayClose': '21:00', 'fridayOpen': '09:00', 'fridayClose': '21:00', 'saturdayOpen': '09:00', 'saturdayClose': '19:00', 'sundayOpen': '09:00', 'sundayClose': '18:00'}","{'storeManager': 'DANIEL BORGSTAHL', 'areaRegion': 'QLD8', 'areaRegionMgr': 'Konrad Kolmet (Secondment)', 'regionZone': 'QLD', 'regionZoneMgr': 'Mat Davey'}",[],True,,,True,True
34256251,3,8683,-27.565417,151.930723,Clifford Gardens,Corner Anzac Avenue And James Street,Toowoomba,4350,QLD,(07) 3726 9662,3.3,,,"{'mondayOpen': '09:00', 'mondayClose': '19:00', 'tuesdayOpen': '09:00', 'tuesdayClose': '19:00', 'wednesdayOpen': '09:00', 'wednesdayClose': '19:00', 'thursdayOpen': '09:00', 'thursdayClose': '21:00', 'fridayOpen': '09:00', 'fridayClose': '21:00', 'saturdayOpen': '09:00', 'saturdayClose': '17:00', 'sundayOpen': '09:00', 'sundayClose': '17:00'}","{'storeManager': 'BARRY RICHARDS', 'areaRegion': 'QLD8', 'areaRegionMgr': 'Konrad Kolmet (Secondment)', 'regionZone': 'QLD', 'regionZoneMgr': 'Mat Davey'}",[],True,,,True,True
34256328,3,6643,-27.594603,151.948748,Toowoomba (kmart Plaza),878 Ruthven Street,Toowoomba,4350,QLD,(07) 3726 9661,5.999,,,"{'mondayOpen': '09:00', 'mondayClose': '19:00', 'tuesdayOpen': '09:00', 'tuesdayClose': '19:00', 'wednesdayOpen': '09:00', 'wednesdayClose': '19:00', 'thursdayOpen': '09:00', 'thursdayClose': '21:00', 'fridayOpen': '09:00', 'fridayClose': '21:00', 'saturdayOpen': '09:00', 'saturdayClose': '18:00', 'sundayOpen': '09:00', 'sundayClose': '18:00'}","{'storeManager': 'MEGAN SANDER', 'areaRegion': 'QLD8', 'areaRegionMgr': 'Konrad Kolmet (Secondment)', 'regionZone': 'QLD', 'regionZoneMgr': 'Mat Davey'}",[],True,,,True,True
34256422,3,6609,-27.571469,153.063142,Sunnybank,358 Mains And Mccullough Streets,Sunnybank,4109,QLD,(07) 3726 9684,11.151,,,"{'mondayOpen': '09:00', 'mondayClose': '20:00', 'tuesdayOpen': '09:00', 'tuesdayClose': '20:00', 'wednesdayOpen': '09:00', 'wednesdayClose': '20:00', 'thursdayOpen': '09:00', 'thursdayClose': '21:00', 'fridayOpen': '09:00', 'fridayClose': '21:00', 'saturdayOpen': '09:00', 'saturdayClose': '20:00', 'sundayOpen': '09:00', 'sundayClose': '18:00'}","{'storeManager': 'DANIEL BROWNE', 'areaRegion': 'QNS7', 'areaRegionMgr': 'Ben Harris', 'regionZone': 'QNS', 'regionZoneMgr': 'Adam Hill'}",[],True,,,True,True
34256410,3,6540,-27.562689,153.082112,Garden City,2049 Logan Road,Upper Mount Gravatt,4122,QLD,(07) 3734 0854,11.179,,,"{'mondayOpen': '09:00', 'mondayClose': '20:00', 'tuesdayOpen': '09:00', 'tuesdayClose': '20:00', 'wednesdayOpen': '09:00', 'wednesdayClose': '20:00', 'thursdayOpen': '09:00', 'thursdayClose': '21:00', 'fridayOpen': '09:00', 'fridayClose': '20:00', 'saturdayOpen': '09:00', 'saturdayClose': '20:00', 'sundayOpen': '09:00', 'sundayClose': '18:00'}","{'storeManager': 'JOHN HENWOOD', 'areaRegion': 'QNS7', 'areaRegionMgr': 'Ben Harris', 'regionZone': 'QNS', 'regionZoneMgr': 'Adam Hill'}",[],True,,,True,True
34256312,3,6486,-27.540449,153.082799,Mt Gravatt Plaza,55 Creek Road,Mount Gravatt,4122,QLD,(07) 3452 6480,9.361,,,"{'mondayOpen': '09:00', 'mondayClose': '20:00', 'tuesdayOpen': '09:00', 'tuesdayClose': '20:00', 'wednesdayOpen': '09:00', 'wednesdayClose': '20:00', 'thursdayOpen': '09:00', 'thursdayClose': '20:00', 'fridayOpen': '09:00', 'fridayClose': '20:00', 'saturdayOpen': '09:00', 'saturdayClose': '20:00', 'sundayOpen': '09:00', 'sundayClose': '18:00'}","{'storeManager': 'HAYDEN DONOHUE', 'areaRegion': 'QNS7', 'areaRegionMgr': 'Ben Harris', 'regionZone': 'QNS', 'regionZoneMgr': 'Adam Hill'}",[],True,,,True,True
34255940,3,8336,-27.509428,153.024171,Fairfield (fairfield Road),190 Fairfield Road,Fairfield,4103,QLD,(07) 3734 0867,3.5,,,"{'mondayOpen': '10:00', 'mondayClose': '20:00', 'tuesdayOpen': '10:00', 'tuesdayClose': '20:00', 'wednesdayOpen': '10:00', 'wednesdayClose': '20:00', 'thursdayOpen': '10:00', 'thursdayClose': '20:00', 'fridayOpen': '10:00', 'fridayClose': '21:00', 'saturdayOpen': '10:00', 'saturdayClose': '21:00', 'sundayOpen': '10:00', 'sundayClose': '19:00'}","{'storeManager': 'JAMIE ARTUS', 'areaRegion': 'QLD1CB', 'areaRegionMgr': 'Matthue Woods', 'regionZone': 'QLD', 'regionZoneMgr': 'Mat Davey'}",[],True,,,True,True
34256335,3,6663,-27.532431,152.981618,Sherwood,672 Sherwood Road,Sherwood,4075,QLD,(07) 3734 0861,5.888,,,"{'mondayOpen': '10:00', 'mondayClose': '20:00', 'tuesdayOpen': '10:00', 'tuesdayClose': '20:00', 'wednesdayOpen': '10:00', 'wednesdayClose': '20:00', 'thursdayOpen': '10:00', 'thursdayClose': '20:00', 'fridayOpen': '10:00', 'fridayClose': '21:00', 'saturdayOpen': '10:00', 'saturdayClose': '21:00', 'sundayOpen': '10:00', 'sundayClose': '19:00'}","{'storeManager': 'JAMES HISCOCK', 'areaRegion': 'QLD1CB', 'areaRegionMgr': 'Matthue Woods', 'regionZone': 'QLD', 'regionZoneMgr': 'Mat Davey'}",[],True,,,True,True
34256319,3,6622,-27.611154,153.055622,Sunnybank Hills,Corner Calam Road And Compton Road,Sunnybank Hills,4109,QLD,(07) 3712 5680,15.01,,,"{'mondayOpen': '09:00', 'mondayClose': '20:00', 'tuesdayOpen': '09:00', 'tuesdayClose': '20:00', 'wednesdayOpen': '09:00', 'wednesdayClose': '20:00', 'thursdayOpen': '09:00', 'thursdayClose': '21:00', 'fridayOpen': '09:00', 'fridayClose': '21:00', 'saturdayOpen': '09:00', 'saturdayClose': '20:00', 'sundayOpen': '09:00', 'sundayClose': '18:00'}","{'storeManager': 'MELODY VOLLER', 'areaRegion': 'QNS7', 'areaRegionMgr': 'Ben Harris', 'regionZone': 'QNS', 'regionZoneMgr': 'Adam Hill'}",[],True,,,True,True
34256015,3,8560,-27.578058,152.973603,Inala Superstore,Corner Freeman Road And Rudd Street,Inala,4077,QLD,(07) 3078 8600,10.959,,,"{'mondayOpen': '10:00', 'mondayClose': '19:00', 'tuesdayOpen': '10:00', 'tuesdayClose': '19:00', 'wednesdayOpen': '10:00', 'wednesdayClose': '19:00', 'thursdayOpen': '10:00', 'thursdayClose': '20:00', 'fridayOpen': '10:00', 'fridayClose': '21:00', 'saturdayOpen': '10:00', 'saturdayClose': '21:00', 'sundayOpen': '10:00', 'sundayClose': '18:00'}","{'storeManager': 'HARDEEP GILL', 'areaRegion': 'QLD8', 'areaRegionMgr': 'Konrad Kolmet (Secondment)', 'regionZone': 'QLD', 'regionZoneMgr': 'Mat Davey'}",[],True,,,True,True
34256158,3,6091,-27.57746,153.113921,Rochedale,329 Gardner Road,Rochedale,4123,QLD,(07) 3182 9480,14.17,,,"{'mondayOpen': '09:00', 'mondayClose': '20:00', 'tuesdayOpen': '09:00', 'tuesdayClose': '20:00', 'wednesdayOpen': '09:00', 'wednesdayClose': '20:00', 'thursdayOpen': '09:00', 'thursdayClose': '21:00', 'fridayOpen': '09:00', 'fridayClose': '21:00', 'saturdayOpen': '09:00', 'saturdayClose': '21:00', 'sundayOpen': '09:00', 'sundayClose': '18:00'}","{'storeManager': 'SAMANTHA DILLON', 'areaRegion': 'QNS7', 'areaRegionMgr': 'Ben Harris', 'regionZone': 'QNS', 'regionZoneMgr': 'Adam Hill'}",[],True,,,True,True
34256423,3,6611,-27.502243,153.005813,St Lucia,222 Hawken Drive,St Lucia,4067,QLD,(07) 3734 0856,2.235,,,"{'mondayOpen': '10:00', 'mondayClose': '20:00', 'tuesdayOpen': '10:00', 'tuesdayClose': '20:00', 'wednesdayOpen': '10:00', 'wednesdayClose': '20:00', 'thursdayOpen': '10:00', 'thursdayClose': '21:00', 'fridayOpen': '10:00', 'fridayClose': '21:00', 'saturdayOpen': '10:00', 'saturdayClose': '21:00', 'sundayOpen': '10:00', 'sundayClose': '21:00'}","{'storeManager': 'JAMIE LEE COSGROVE', 'areaRegion': 'QLD1CB', 'areaRegionMgr': 'Matthue Woods', 'regionZone': 'QLD', 'regionZoneMgr': 'Mat Davey'}",[],True,,,True,True
